EQUI-5	standing	is
EQUI-5	on tree branches	on tree branches
SPE2-4	A cat	A black and white cat
EQUI-5	A large boat	A large boat
SPE2-4	in the water	on the sea
EQUI-5	A passenger train	A passenger train
SIMI-4	waiting	sits
EQUI-5	in a station	in the station
EQUI-5	on the floor	on the floor
EQUI-5	sitting	sitting
EQUI-5	An Apple computer	A Macintosh computer
EQUI-5	A jockey	A jockey
EQUI-5	a horse	a horse
EQUI-5	riding	riding
SIMI-4	A woman	A young girl
EQUI-5	a brown horse	a brown horse
EQUI-5	riding	riding
EQUI-5	sleeps	asleep
EQUI-5	A man	A man
SPE2-4	with a baby	holding a baby
SIMI-2	in front of yellow flowers	in a field
EQUI-5	standing	standing
EQUI-5	A black dog	A black dog
EQUI-5	in afield	in a field
SPE2-3	standing	grazing
EQUI-5	sheep	A sheep
EQUI-5	standing	stands
SPE1-4	A dark brown horse	A brown horse
SPE2-3	in a field	in a lush green field
SPE2-4	with food	with food and beer
EQUI-5	of people	of people
EQUI-5	around a table	around a table
EQUI-5	A group	A group
EQUI-5	sitting	sit
EQUI-5	A brown horse	A brown horse
SPE1-4	in a lush green field	in a green field
EQUI-5	with two cats	with two cats
EQUI-5	at her feet	at her feet
EQUI-5	in a kitchen	in the kitchen
EQUI-5	stands	is standing
EQUI-5	An elderly woman	The old lady
SPE1-4	Red double decker bus	Double decker passenger bus
REL-3	through the streets	with traffic
EQUI-5	driving	driving
EQUI-5	in a cluttered room	in a cluttered room
SIMI-4	sitting	lies
EQUI-5	A man	A man
EQUI-5	walking	walking
SIMI-4	under trees	under the tree
SPE1-4	Black cow	Cow
EQUI-5	in pasture	in a pasture
SIMI-3	A smiling woman	Two women
REL-2	with another smiling woman	laughing
EQUI-5	sitting	sitting
EQUI-5	outside	outside
SPE2-3	with a big necklace	with a black top and a necklace
SPE2-4	a woman	A young woman
EQUI-5	in grass	in a grassy area
EQUI-5	standing	standing
EQUI-5	Brown and white cow	A brown and white cow
EQUI-5	a horse	a horse
EQUI-5	riding	rides
EQUI-5	A jockey	A jockey
EQUI-5	rides	rides
EQUI-5	A person	A person
EQUI-5	a bike	a bike
EQUI-5	a helmet	a bike helmet
EQUI-5	wearing	wearing
EQUI-5	of horses	of horses
EQUI-5	grazing	grazing
EQUI-5	Group	A group
SPE1-4	in grassy field	in a field
EQUI-5	a helmet	a bike helmet
SPE1-4	A young blonde girl	A young girl
EQUI-5	behind her	in the background
SPE1-4	with a red bicycle	with a bicycle
EQUI-5	wearing	wearing
SIMI-3	A striped cat	Domestic cat
EQUI-5	laying down	laying
EQUI-5	of cat litter	of cat litter
