EQUI-5	at 91	aged 91
SPE1_FACT-3	Former Nazi death camp guard Demjanjuk	John Demjanjuk convicted Nazi death camp guard
EQUI-5	dead	dies
EQUI-5	to compete	To Compete
REL-3	Saudis	Saudi Women
EQUI-5	in Olympics	At Olympics
EQUI-5	women	Saudi Women
EQUI-5	to permit	Allowed
EQUI-5	kills	kills
SPE1-4	US drone strike	Drone strike
EQUI-5	in Pakistan	in Pakistan
SIMI_FACT-4	5 militants	four suspected militants
SPE1-2	Syria peace plan conditions	Syria peace
EQUI_POL-5	Syrian regime	Syria
EQUI-5	in Houla massacre	for Houla massacre
EQUI-5	China stocks	Chinese stocks
SPE2-4	Friday	midday Friday
SIMI-2	mixed	higher
EQUI-5	close	close
SPE1-4	Mall attackers	attackers
EQUI-5	used	used
EQUI-5	` less is more ' strategy	` less is more ' strategy
EQUI-5	Solomon Islands	Solomon Islands
EQUI-5	strikes off	strikes off
SIMI-4	6.8 quake	Magnitude 6.3 quake
EQUI-5	recognizes	recognize
EQUI-5	of Syria	of Syria
SIMI-4	as legitimate representative	as sole representative
EQUI-5	Friends	Friends
EQUI-5	opposition coalition	opposition
EQUI-5	detained	detains
EQUI-5	for ` house sister ' scandal	for `` house sister '' scandal
EQUI-5	7	7
EQUI-5	takes a beating	tumbles
EQUI-5	Boeing 787 Dreamliner	on 787 Dreamliner
EQUI-5	catches fire	after fire
EQUI-5	stock	Boeing stock
EQUI-5	seven foreign workers	Seven foreign workers
EQUI-5	in Nigeria	in Nigeria
EQUI-5	abduct	kidnapped
EQUI-5	Israeli forces	security forces
EQUI-5	in West Bank , Jerusalem	in W. Bank
EQUI-5	clash with	clash with
EQUI-5	Palestinians	Palestinians
SPE1-4	in bus accident	in road accident
EQUI-5	killed	killed
SIMI-4	12	10
SPE2-4	in Pakistan	in NW Pakistan
EQUI-5	Postpones	postpones
EQUI-5	Family Reunions	family unions
EQUI-5	with South	with South Korea
EQUI-5	North Korea	North Korea
EQUI-5	From Soccer	from football
EQUI_FACT-5	Announces Retirement	retires
EQUI-5	David Beckham	David Beckham
EQUI-5	on National Mall	on National Mall
EQUI-5	Dies	dies
EQUI-5	Man	Man
EQUI-5	Who Set Himself on Fire	who set himself ablaze
SIMI-4	Selected	is
EQUI-5	as Japan	Japan
EQUI-5	's Prime Minister	's prime minister
EQUI-5	Shinzo Abe	Shinzo Abe
EQUI-5	after ski accident	following skiing accident
EQUI-5	Schumacher	Michael Schumacher
EQUI-5	in a coma	in a coma
EQUI-5	a Lance Armstrong biopic	Lance Armstrong in biopic
SPE2-3	Bradley Cooper and JJ Abrams	Bradley Cooper
REL-3	about filming	to play
EQUI-5	in talks	in talks
EQUI-5	EU ministers	EU ministers
EQUI-5	horsemeat scandal	over horse meat scandal
EQUI-5	Thai opposition party	Thai opposition
SPE1-4	to boycott general election	election boycott
EQUI-5	continues	continues
EQUI-5	power crisis	blackout
EQUI-5	Jagan Reddy	Jagan
EQUI-5	in Seemandhra	in Seemandhra
EQUI-5	to hospital	in hospital
EQUI-5	as Maracana re-opens	as Maracana re-opens
REL_POL-3	tied	held
EQUI-5	Brazil	Brazil
EQUI-5	2-2	2-2
EQUI-5	by England	by England
SIMI-3	warns against	weighs into
SPE1-4	bitter immigration debate	immigration debate
EQUI-5	George W. Bush	George W Bush
EQUI-5	ill	fall sick
EQUI-5	Hundreds	Hundreds
SPE1-3	of Bangladesh clothes factory workers	in Bangladesh factory
EQUI-5	conducts	launches
EQUI-5	on Syria	against Syria
SPE2-4	airstrike	new airstrike
EQUI-5	Israel	Israel
EQUI-5	after China earthquake	in China quake
SIMI-3	Around 100 dead or injured	Hundreds dead or injured
EQUI-5	Killed	killed
EQUI-5	2 French Journalists	Two French journalists
EQUI-5	in Mali	in Mali
SPE1-4	in collapsed Japan tunnel	from Japan tunnel
EQUI-5	ablaze	left burning
EQUI-5	Vehicles	Vehicles
EQUI-5	attack	attack
SPE2-3	north Mali city	Malian troops in Gao
EQUI-5	Islamists	Islamists
EQUI-5	approves	reached
EQUI-5	fiscal cliff deal	Deal on `` fiscal cliff ''
EQUI-5	China stocks	China stocks
EQUI-5	higher	higher
EQUI-5	close	close
EQUI-5	Dolce and Gabbana	Dolce and Gabbana
SPE2-4	of tax evasion	in Italian Tax Case
SIMI-4	convicted	Fined
REL-3	on Syrian chemical arms	over Syria chemical claims
SPE1-3	UK alert	West
EQUI_FACT-5	believed killed	dies
EQUI-5	in plane crash	in plane crash
EQUI-5	Mexican singer Jenni Rivera	Jenni Rivera Mexican music star
EQUI-5	climbs	rises
SIMI-4	to 15	to 11
EQUI-5	in Indonesia boat sinking	in Indonesia boat capsize
EQUI-5	Death toll	Death toll
EQUI-5	leads	leads
EQUI-5	in Iran presidential vote preliminary results	in initial Iran count
EQUI-5	Rouhani	Rouhani
SIMI-4	increases security	bracing
EQUI-5	Egypt	Egypt
SPE1-4	before pro-Morsi protests	for massive protests
EQUI-5	hits	climbs
EQUI-5	death toll	death toll
SIMI-2	362	to 580
EQUI-5	Bangladesh building collapse	Bangladesh building-collapse
EQUI-5	in Nevada middle school shooting	Nevada in middle school shooting
EQUI-5	2 injured	2 hurt
EQUI-5	2 dead	2 dead
EQUI-5	mixed sex schools ban	in mixed-sex school ` ban '
EQUI-5	Hamas	Hamas
EQUI-5	gives	gives
EQUI-5	Russia	Russia
EQUI-5	initial OK	initial approval
SPE1-4	to American adoption ban	to adoption ban
EQUI-5	Among 7 Dead	among 7 dead
EQUI-5	Gunman	Gunman
EQUI-5	After Florida Apartment Shooting	after Fla. apartment shootout
SPE1-4	New information	after they received information
SPE1-4	Murder claim over Diana 's death	Diana and Fayed death info
EQUI-5	to the police	by police
EQUI-5	of Princess Diana and Dodi Fayed	of Princess Diana and Dodi Al Fayed
EQUI-5	the deaths	The deaths
EQUI-5	tough stand	tough stance
EQUI-5	pledges	promises
EQUI-5	Narendra Modi	India 's Modi
EQUI-5	against Pakistan	against Pakistan
EQUI-5	gays	on gays
EQUI-5	on admitting	on lifting ban
EQUI-5	delay	delays
SIMI-4	decision	vote
EQUI-5	Boy Scouts	Boy Scouts
SIMI-2	0.26 pc	1.53 %
EQUI-5	Tokyo stocks	Tokyo stocks
EQUI-5	close down	close down
EQUI-5	USA	U.S.
EQUI-5	expels	expels
