x1	x2	y_type	y_score
standing	is	5	5
on tree branches	on tree branches	5	5
A cat	A black and white cat	4	3
A large boat	A large boat	5	5
in the water	on the sea	4	3
A passenger train	A passenger train	5	5
waiting	sits	4	2
in a station	in the station	5	5
on the floor	on the floor	5	5
sitting	sitting	5	5
An Apple computer	A Macintosh computer	5	5
A jockey	A jockey	5	5
a horse	a horse	5	5
riding	riding	5	5
A woman	A young girl	4	2
a brown horse	a brown horse	5	5
riding	riding	5	5
sleeps	asleep	5	5
A man	A man	5	5
with a baby	holding a baby	4	3
in front of yellow flowers	in a field	2	2
standing	standing	5	5
A black dog	A black dog	5	5
in afield	in a field	5	5
standing	grazing	3	3
sheep	A sheep	5	5
standing	stands	5	5
A dark brown horse	A brown horse	4	3
in a field	in a lush green field	3	3
with food	with food and beer	4	3
of people	of people	5	5
around a table	around a table	5	5
A group	A group	5	5
sitting	sit	5	5
A brown horse	A brown horse	5	5
in a lush green field	in a green field	4	3
with two cats	with two cats	5	5
at her feet	at her feet	5	5
in a kitchen	in the kitchen	5	5
stands	is standing	5	5
An elderly woman	The old lady	5	5
Red double decker bus	Double decker passenger bus	4	3
through the streets	with traffic	3	1
driving	driving	5	5
in a cluttered room	in a cluttered room	5	5
sitting	lies	4	2
A man	A man	5	5
walking	walking	5	5
under trees	under the tree	4	2
Black cow	Cow	4	3
in pasture	in a pasture	5	5
A smiling woman	Two women	3	2
with another smiling woman	laughing	2	1
sitting	sitting	5	5
outside	outside	5	5
with a big necklace	with a black top and a necklace	3	3
a woman	A young woman	4	3
in grass	in a grassy area	5	5
standing	standing	5	5
Brown and white cow	A brown and white cow	5	5
a horse	a horse	5	5
riding	rides	5	5
A jockey	A jockey	5	5
rides	rides	5	5
A person	A person	5	5
a bike	a bike	5	5
a helmet	a bike helmet	5	5
wearing	wearing	5	5
of horses	of horses	5	5
grazing	grazing	5	5
Group	A group	5	5
in grassy field	in a field	4	3
a helmet	a bike helmet	5	5
A young blonde girl	A young girl	4	3
behind her	in the background	5	5
with a red bicycle	with a bicycle	4	3
wearing	wearing	5	5
A striped cat	Domestic cat	3	2
laying down	laying	5	5
of cat litter	of cat litter	5	5
Five birds	Several cardinals	3	2
on the snow	in the snow	5	5
stand	stand	5	5
posing	is standing	4	3
by a pillar	by a pillar	5	5
A woman	a woman	5	5
with a U2 sign	where `` u2 '' is written	5	5
A red moped	The red scooter	4	3
parked	is sitting	4	2
on a sidewalk	on the street	4	3
in front of graffiti	in front of the building	3	1
on couch	on a couch	5	5
Two dogs and one cat	Two dogs and a cat	5	5
sitting	resting	4	2
with their thumbs up	the thumbs up sign	5	5
One Asian and one occasion woman	Two women	2	3
smiling	are posing	3	1
in front of an alpine lake	next to a mountain , and a body	4	2
grazing	grazing	5	5
Two mountain goats	Two animals	1	3
in a station	at the city train station	4	3
waiting	waiting	5	5
A passenger train	A passenger train	5	5
A bicycle	A bicycle	5	5
is parked	is parked	5	5
by a shop	outside a bookstore	4	3
in a black leather chair	on a leather chair	4	3
A orange and white cat	A ginger and white cat	4	3
laying	asleep	4	2
on train tracks	on the train tracks	5	5
Black train	A train	4	3
on a black couch	on couch	4	3
Young couple	Young couple	5	5
sitting	sitting	5	5
on a couch	on couch	5	5
A couple	Young couple	4	3
posing	sitting	3	1
Red double decker bus	Red double decker bus	5	5
A group	A group	5	5
sitting	sitting	5	5
at a restaurant table	around a table	4	3
of people	of people	5	5
napping	sleeping	4	2
under a small table	under a table	4	3
a dog	A dog	5	5
on water	on the water	5	5
A boat	Sail boat	4	3
is sailing	sailing	5	5
a small baby	a baby	4	3
holding	holding	5	5
A smiling woman	Two smiling women	4	2
Red double decker bus	A red double decker bus	5	5
of street	on a city street	4	3
the window	of a window	5	5
looking out	looking out	5	5
Gray cat	A cat	4	3
on the tracks	on the train track	4	2
sitting	are sitting	5	5
Two green and white trains	Two green and white trains	5	5
the camera	the camera	5	5
